id,Polarity,Tonality,Contradictions,Rhetorical Techniques,Propaganda Methods,Logical Errors
22,positive,optimistic,no,"hyperbole, anaphora, emotive language","appeal to success, bandwagon, glittering generalities",none
23,negative,critical,yes,"quantification, vagueness, emotion evocation","fear-mongering, appeal to emotion, selectivity",hasty generalization
24,negative,critical,yes,"exaggeration, contradiction, appeal to emotion","fear-mongering, misrepresentation, anecdotal evidence",straw man
25,neutral,defensive,no,"aposiopesis, evasiveness","distraction, appeal to ignorance",none
26,negative,serious,yes,"anecdote, emphasis, appeal to authority","scare tactics, selective omission, confirmation bias",hasty generalization
27,neutral,defensive,yes,"superlative, hyperbole, contrast","euphemism, loaded language",fallacy of ambiguity
28,negative,alarmist,no,"specificity, allusion","fear-mongering, demonization",hasty generalization
29,negative,serious,no,"statistical evidence, contrast, appeal to authority","selectivity, emotional appeal",hasty generalization
30,neutral,informative,no,"historical reference, contrast","appeal to tradition, framing","ambiguity, unwarranted assumption"
31,positive,optimistic,no,"assertion, comparison","oversimplification, appeal to authority",hasty generalization
32,negative,alarmist,yes,"fear appeal, hyperbole, anecdotal evidence","scapegoating, framing, misleading information",overgeneralization
33,positive,optimistic,yes,"statistics, repetition, inclusive language","bandwagon, omission",hasty generalization
34,neutral,objective,yes,"statistical evidence, quoting, contrast","cherry-picking, appeal to authority, bandwagon",hasty generalization
35,negative,derisive,no,"hyperbole, anecdotal evidence, rhetorical question","fearmongering, scapegoating, emotional appeal",straw man
36,positive,optimistic,no,"repetition, hyperbole, specificity","appeal to growth, bandwagon",overgeneralization
37,neutral,factual and conversational,no,"hyperbole, statistical appeal","selective omission, appeal to authority",no logical errors
38,neutral,sardonic,yes,"hyperbole, irony, reassurance","fear mongering, appeal to authority, deflection","['hasty generalization', 'slippery slope']"
39,neutral,descriptive,no,"comparison, appeal to authority","cherry-picking data, card stacking",['oversimplification']
40,negative,critical,yes,"implied criticism, hyperbole, appeal to authority","fear-mongering, misleading attribution",straw man argument
41,negative,critical,yes,"omission, appeal to emotion","cherry-picking, fear-mongering",hasty generalization
42,negative,critical,yes,"appeal to authority, hyperbole, post hoc ergo propter hoc","fearmongering, ad hominem, scapegoating",hasty generalization
43,negative,critical,no,"appeal to authority, contrast, assertion","fear mongering, demonizing the opposition",false dilemma
44,negative,skeptical,no,"substitution, contrast, appeal to authority","doubt creation, emotional appeal, deflection",argument from authority
45,negative,concerned,yes,"hyperbole, contrast","cherry-picking, appeal to emotion",misleading statistics
46,negative,accusatory,no,"exaggeration, appeal to fear","misleading information, simplification",hasty generalization
47,negative,critical,yes,"hyperbole, aposiopesis","oversimplification, demonization",false dilemma
48,negative,condemnatory,yes,"misleading causation, emphasis on authority","scapegoating, appeal to emotion",post hoc fallacy
49,negative,critical,no,"appeal to authority, time reference","fearmongering, selective omission",oversimplification
50,negative,critical,no,"assertion, contrast, appeal to authority","selective omission, demonization",hasty generalization
51,negative,critical,yes,"quoting an authority, contrast","assertion, transfer",faulty causality
52,negative,critical,yes,"anecdote, loaded language","ad hominem, scapegoating",hasty generalization
53,positive,celebratory,no,"listing, hyperbole, anaphora","bandwagon, glittering generalities, fear appeal",none
54,negative,serious,yes,"anecdote, hyperbole, repetition","appeal to fear, selective omission, bandwagon",hasty generalization
55,negative,concerned,yes,"statistics, appeal to emotion, anecdotal evidence","selective omission, misleading framing, emotional appeal",hasty generalization
56,negative,critical,yes,"exaggeration, statistical reference","fear-mongering, contrasting evidence",hasty generalization
57,negative,critical,no,"temporal reference, emphasis, anecdotal evidence","scapegoating, fear-mongering, historical revisionism",false cause
58,neutral,informative,yes,"expectation setting, authority appeal","normalizing, distraction",questionable assumption
59,negative,cautionary,no,"statistics, contrast","appeal to emotion, selective omission",false dilemma
60,negative,alarming,yes,"hyperbole, contrast","fear tactics, cherry-picking data",hasty generalization
61,negative,skeptical,no,"exclusive claim, quoting, contrast","ad hominem, red herring, appeal to authority",straw man
62,negative,critical,no,"quotations, appeal to authority, concession","demonization, bandwagon",hasty generalization
63,neutral,informative,no,"enumeratio, contrast, paronomasia","demonization, statistical manipulation, appeal to emotion",false dichotomy
64,neutral,informative,yes,"labeling, anecdote","emotional appeal, cherry-picking",no true scotsman
65,negative,concerned,no,"statistical evidence, appeal to fear, anecdotal reference","scare tactics, framing, authority appeal",hasty generalization
66,positive,optimistic,no,"testimonial, appeal to authority, inclusive language","glittering generalities, bandwagon",hasty generalization
67,negative,accusatory,yes,"anecdote, loaded language, appeal to fear","demonization, fear mongering, disinformation","['hasty generalization', 'false cause']"
68,negative,critical,no,"appeal to authority, pathos, oversimplification","fearmongering, dichotomy",['hasty generalization']
69,negative,defensive,yes,"anecdotal evidence, appeal to authority, repetition","transfer, demonization",false cause
70,negative,critical,yes,"contrast, appeal to authority, anecdotal evidence","cherry-picking, name-calling",false dichotomy
71,negative,critical,yes,"cause and effect, historical context","reductio ad hitlum, misleading causation",post hoc ergo propter hoc
72,neutral,cautious,yes,"quoting authority, vagueness","appeal to emotion, card stacking",hasty generalization
73,negative,cautionary,yes,"hyperbole, contrast, historical reference","fear appeal, appeal to authority, selective omission",hasty generalization
74,negative,alarmist,yes,"hyperbole, causal link","fear appeal, selective omission",hasty generalization
75,negative,cautionary,no,"irony, antithesis, allusion","fear, appeal to authority, cherry picking",false dilemma
76,neutral,critical,yes,"rhetorical question, anecdote, amplification","bandwagon, fearmongering",slippery slope
77,negative,concerned,no,"statistical evidence, anecdotal evidence","ad populum, fear-mongering",hasty generalization
78,negative,critical,yes,"ad hominem, quoting authority","demonization, cherry picking",false dichotomy
79,negative,critical,yes,"emphasis, juxtaposition, hyperbole","appeal to fear, bandwagon, scapegoating",hasty generalization
80,negative,critical,no,"quoting authority, loaded language","fearmongering, appeal to emotion",hasty generalization
81,positive,persuasive,no,"statistic, anecdotal evidence, appeal to authority","bandwagon, loaded language, misleading statistics",none identified
82,negative,critical,yes,"hyperbole, anecdotal evidence","cherry picking, appeal to emotion",false dichotomy
83,negative,critical,yes,"hyperbole, contrast, allusion","diminishing, misleading comparison, selective emphasis",false dilemma
84,negative,accusatory,no,"direct quotation, timeline/contextualization, counterfactual reasoning","fear-mongering, shifting the blame, appeal to authority",hasty generalization
85,negative,critical,yes,"nostalgia, generalization, oversimplification, attribution of blame","ad hominem, appeal to fear, selective evidence","['post hoc', 'false cause']"
86,negative,critical,yes,"appeal to authority, hyperbole","fearmongering, misleading statistics",straw man
87,negative,alarmist,yes,"hyperbole, chronological framing","fear appeal, scapegoating",oversimplification
88,negative,critical,yes,"quote, hyperbole, contrast","fear-mongering, loaded language, appeal to emotion",hasty generalization
89,negative,alarmist,yes,"hyperbole, emotional appeal","fearmongering, cherry-picking data",hasty generalization
90,negative,alarmist,yes,"hyperbole, anecdote, appeal to fear","assertion, card-stacking, name-calling",hasty generalization
91,positive,assertive,no,"assertion, anecdote","bandwagon, testimonial",none
92,negative,ironic,no,"colloquial language, hyperbole, allusion","emotional appeal, fearmongering",hasty generalization
93,neutral,assertive,yes,"exclusivity, emphasis, comparison","appeal to fear, bandwagon, cherry picking",hasty generalization
94,neutral,defensive,yes,"distinction, appeal to authority, contrast","selective omission, simplification, framing",false dichotomy
95,negative,skeptical,yes,"paraphrase, implied advocacy, ambiguity","labeling, fear-mongering, selective quoting",hasty generalization
96,negative,serious,no,"questioning, historical reference","fear induction, appeal to authority",contextual oversimplification
97,neutral,causal,yes,"comparison, hyperbole, generalization","appeal to emotion, selective information, simplicity",hasty generalization
98,negative,serious,no,"comparison, historical reference","fear appeal, emotional appeal",appeal to emotion
99,negative,cautionary,no,"hypothetical statement, appeal to emotion","fear appeals, bandwagon",appeal to fear
100,negative,alarming,yes,"hyperbole, appeal to convenience","simplification, emotional appeal",false dichotomy
101,negative,cynical,yes,"hyperbole, statistics","misleading information, appeal to authority",fallacy of misleading statistics
102,positive,optimistic,yes,"hyperbole, pathos","appeal to emotion, misleading statistics",inaccuracy
103,negative,critical,no,"pathos, allusion","card stacking, name-calling",false dichotomy
104,negative,cynical,yes,"hyperbole, anecdote","scare tactics, illusory truth effect",ad hominem
105,positive,favorable,no,"appeal to authority, repetition","card stacking, glittering generalities",hasty generalization
106,negative,critical,yes,"statistical evidence, comparative statement","appeal to authority, emotional appeal",fallacy of hasty generalization
107,negative,concerned,no,"anecdote, statistics, concession","appeal to authority, fear-mongering, over-simplification",no fallacies identified
108,positive,optimistic,no,"inclusivity, appeal to emotion, specificity","fearmongering, bandwagon appeal, false dilemma",false dilemma
109,neutral,cautionary,no,"appeal to authority, statistics, contrast","fear mongering, cherry-picking statistics",hasty generalization
110,neutral,informative,no,"statistics, authority, clarification","cherry-picking, fear appeal, simplicity",omission
111,negative,critical,no,"repetition, anecdotal evidence, contrast","fearmongering, bandwagon, scapegoating",hasty generalization
112,negative,defensive,yes,"inclusivity, contrast","scapegoating, redirection",hasty generalization
113,neutral,assertive,yes,"quoting, hyperbole","fearmongering, appeal to authority",ambiguity
114,positive,optimistic,no,"superlative language, temporal reference","cherry-picking data, appeal to authority",none
115,neutral,informative,yes,"antithesis, euphemism, apostrophe","appeal to authority, bandwagon, card stacking",fallacy of ambiguity
116,negative,somber,yes,"contrast, inclusive language","appeal to emotion, fear tactics",false dichotomy
117,negative,critical,no,"ad hominem, loaded language","name-calling, transfer",hasty generalization
118,negative,critical,no,"hyperbole, comparative analysis","ad hominem, scare tactics",hasty generalization
119,neutral,informative,no,"anaphora, statistics, contrast","appeal to authority, cherry picking, oversimplification",hasty generalization
120,negative,cautious,yes,"appeal to emotion, anecdotal evidence","fearmongering, expert endorsement",hasty generalization
121,neutral,cautionary,no,"statistical evidence, temporal contrast, anticipation","fear appeals, redirection",hasty generalization
122,negative,somber,yes,"appeal to authority, contrast","selective omission, diminishing facts",false dichotomy
123,positive,promotional,no,"specificity, repetition","appeal to authority, emotional appeal",none identified
124,positive,persuasive,yes,"conditional statement, quantitative data, implied cause and effect","appeal to authority, omission","['hasty generalization', 'false dichotomy']"
125,positive,optimistic,no,"ethos, anecdote, imagery","testimonial, appeal to authority, emotional appeal",hasty generalization
126,negative,concerned,no,"comparative analysis, anecdotal evidence","bandwagon, fear appeal",hasty generalization
127,negative,critical,yes,"appeal to emotion, irony, hyperbole","scare tactics, misleading information, emotional appeal",strawman argument
128,negative,alarmist,yes,"fear appeal, loaded language, false dichotomy","misleading framing, scare tactics, straw man",slippery slope
129,negative,cautionary,yes,"statistical evidence, appeal to authority, ambiguity","cherry-picking, euphemism, fear tactics",hasty generalization
130,negative,concerned,no,"ambiguity, euphemism","scare tactics, appeal to authority",ambiguity fallacy
131,neutral,moderate critique,yes,"comparison, emphasis","loaded language, appeal to authority",straw man
132,neutral,analytical,no,"comparative statement, appeal to authority","cherry picking, emotional appeals",none
133,positive,optimistic,yes,"hyperbole, inclusive language, future projection","cherry-picking data, emotional appeal, false dichotomy",hasty generalization
134,negative,assertive,yes,"reference to authority, quotation, repetition","appeal to fear, demonizing the opposition, bandwagon","hasty generalization, false dilemma"
135,negative,accusatory,yes,"loaded language, appeal to fear","demonization, name-calling",hasty generalization
136,positive,encouraging,no,"hyperbole, anecdote, connotation","card stacking, glittering generalities, euphemism",faulty generalization
137,neutral,informative,no,"appeal to emotion, statistics, rhetorical question","simplification, fearmongering, misleading statistics",fallacy of ambiguity
138,neutral,analytical,yes,"appeal to authority, generalization, repetition","bandwagon, scapegoating",hasty generalization
139,neutral,informative,yes,"Metaphor, euphemismcontradiction","fear appeal, name-calling, plain folks appeal",false dichotomy
140,negative,critical,yes,"anecdote,  appeal to authority,  contrast","dehumanization,  ad hominem,  fear-mongering",hasty generalization
141,neutral,informative,yes,"comparative rhetoric, quantitative data, generalization","fear appeal, selective evidence",hasty generalization
142,negative,alarmist,yes,"hyperbole, appeal to fear, pathos","scare tactics, cherry-picking data, doomsaying",hasty generalization
143,neutral,objective,no,"hyperbole, comparative statement, anecdotal evidence","testimonial, appeal to authority, statistics",none
144,neutral,contradictory,yes,"quoting, amplification","message framing, selective quotation",ambiguity
145,negative,critical,no,"statistic appeal, authoritative quote","card stacking, fear appeal","['hasty generalization', 'red herring']"
146,negative,critical,yes,"straw man argument, appeal to authority, contrast","oversimplification, selective storytelling",hasty generalization
147,neutral,skeptical,yes,"assertion, quoting, contrast","appeal to authority, oversimplification, fearmongering",ambiguity
148,negative,skeptical,yes,"hyperbole, quotation, concession","emotional appeal, misleading language, omission",straw man
149,negative,critical,yes,"hyperbole, pathos","scare tactics, cherry-picking",hasty generalization
150,negative,critical,yes,"statistic, appeal to authority, contrast","selective statistics, emotional appeal, oversimplification",hasty generalization
151,neutral,informative,yes,"antithesis, appeal to reason","cherry-picking, diminishing returns",equivocation
152,negative,critical,yes,"anecdote, contrast, authority","fear-mongering, assertion",['strawman']
153,positive,optimistic,no,"anaphora, inclusive language, positive framing","testimonials, bandwagon, misinformation",cherry picking
154,negative,concerned,yes,"appeal to emotion, appeal to authority, contrasting","selective omission, scare tactics, false dilemma",hasty generalization
155,neutral,informative,no,"apostrophe, hyperbole","scare tactics, appeal to authority",none
156,negative,accusatory,yes,"exaggeration, anecdote, contrasting","fear appeals, ad hominem, false dichotomy",hasty generalization
157,negative,critical,no,"metaphor, repetition, hyperbole","fearmongering, demonization, call to action",false analogy
158,neutral,cautiously assertive,yes,"appeal to authority, enumeratio, hyperbole","fearmongering, bandwagon, cherry-picking","['overgeneralization', 'ambiguity']"
159,negative,serious and urgent,yes,"cause and effect, appeal to fear, anecdotal evidence","scare tactics, red herring, bandwagon","['post hoc ergo propter hoc', 'oversimplification']"
160,negative,critical,yes,"misleading naming, appeal to emotion","demonization, fearmongering",straw man fallacy
161,negative,accusatory,yes,"appeal to emotion, hyperbole","fearmongering, scapegoating",hasty generalization
162,negative,accusatory,no,"rhetorical question, appeal to emotion","demonization, misrepresentation",hasty generalization
163,neutral,analytical,no,"conditional statement, comparative analysis, juxtaposition","fear appeal, red herring",false dilemma
164,negative,alarmist,yes,"comparison, quantification","fear appeal, selective statistics",cherry picking
165,positive,supportive,no,"commendation, temporal context, appeal to authority","bandwagon, glittering generalities, transfer",none identified
166,neutral,skeptical,yes,"appeal to authority, contrast, irony","fearmongering, cherry-picking, scapegoating",post hoc ergo propter hoc
167,negative,alarmist,yes,"fear appeal, repetition","scare tactics, demonization","['hasty generalization', 'false dichotomy']"
168,positive,defensive,no,"comparison, appeal to authority, counterargument","statistical evidence, demonization of opposition, appeal to emotion",hasty generalization
169,negative,critical,no,"anecdote, loaded language","emotional appeal, fearmongering",none
170,positive,optimistic,no,"comparison, authority appeal","lasting impression, selective statistics",straw man
171,negative,accusatory,yes,"exaggeration, anecdote","fear mongering, demonization",straw man argument
172,negative,critical,yes,"appeal to authority, contrast, use of statistics","fear-mongering, selective statistics, bandwagon",hasty generalization
173,negative,critical,yes,"accusation, contrast, exaggeration","fear mongering, demonization, repetition","['hasty generalization', 'post hoc fallacy']"
174,negative,serious,yes,"hyperbole, comparative, statistical appeal","fearmongering, selective omission, appeal to emotion",hasty generalization
175,negative,cautionary,yes,"appeal to authority, hypothetical scenario","cherry-picking facts, fear mongering",hasty generalization
176,neutral,informative,no,"comparison, historical reference, hyperbole","appeal to emotion, selective omission, framing",oversimplification
177,negative,critical,yes,"correlation, contrasting, appeal to authority","scapegoating, cherry-picking, fear-mongering","['hasty generalization', 'post hoc ergo propter hoc']"
178,negative,alarming,no,"hyperbole, scare tactics, appeal to emotion","name-calling, card stacking, fearmongering",false dilemma
179,negative,critical,no,"comparison, quoting authority","appeal to emotion, card stacking",hasty generalization
180,negative,cautionary,no,"hyperbole, anecdote","fear appeal, testimonial",hasty generalization
181,positive,optimistic,yes,"statistics, causal relationships, authoritative sources","appeal to emotion, card stacking, testimonial","['hasty generalization', 'cherry picking']"
182,negative,alarmist,yes,"hyperbole,  appeal to emotion,  comparative language","card stacking,  fear mongering,  oversimplification",false dilemma
183,negative,alarmist,yes,"assertion, amplification, appeal to fear","card stacking, scare tactics, repetition",hasty generalization
184,positive,optimistic,yes,"hypothetical statement, superlative","selective comparison, appeal to regional pride",['false dilemma']
185,neutral,assertive,yes,"comparison, appeal to authority, exaggeration","cherry picking, contradictory statements","['hasty generalization', 'faulty cause']"
186,negative,accusatory,no,"amplification, ethos, statistics","fear-mongering, outrage, selective omission",hasty generalization
187,neutral,reassuring,yes,"assertion, future projection, quantification","appeal to authority, selective omission, emotional appeal","['cherry picking', 'overgeneralization']"
188,negative,pejorative,yes,"hyperbole, allusion","card stacking, ad hominem",hasty generalization
189,negative,defensive,yes,"appeal to authority, contrast, counterargument","misleading information, anecdotal evidence",hasty generalization
190,negative,critical,no,"comparison, statistics, conditional statement","downplaying, appeal to emotion, exaggeration",hasty generalization
191,negative,alarmist,no,"hyperbole, comparative language, anecdotal evidence","scare tactics, selective omission",appeal to fear
192,negative,satirical,yes,"euphemism, hyperbole, irony","framing, satire",false analogy
193,negative,critical,yes,"hyperbole, repetition","fear-mongering, appeal to emotion",false dichotomy
194,positive,informative,no,"naming, enumeration, anecdote","bandwagon, appeal to numbers",no logical errors
195,neutral,informative,yes,"quoting, contrast","cherry-picking, framing",no true scotsman
196,positive,optimistic,yes,"appeal to authority, anaphora","simplification, fear appeal","['false cause', 'hasty generalization']"
197,negative,confrontational,no,"hyperbole, appeal to emotion, generalization","ad hominem, straw man, bandwagon",hasty generalization
198,negative,critical,yes,"anaphora, hyperbole, contrast","appeal to emotion, selective omission",generalization
199,negative,skeptical,yes,"euphemism, weasel words","cherry-picking, doubt",appeal to doubt
200,negative,assertive,yes,"use of contrast, anecdotal evidence","appeal to authority, selective omission",hasty generalization
201,negative,critical,yes,"appeal to emotion, statistics, rhetorical question","bandwagon, fear, red herring",straw man
202,negative,alarmist,yes,"statistical evidence, geographical context","selective omission, appeal to emotion",hasty generalization
203,negative,defensive,yes,"hyperbole, superlative","cherry-picking, deceptive language",['false assertion']
204,negative,critical,yes,"appeal to emotion, hyperbole","fearmongering, loaded language","['post hoc ergo propter hoc', 'hasty generalization']"
205,negative,critical,no,"understatement, contrast, appeal to emotion","selective omission, scare tactics, bandwagon",hasty generalization
206,negative,accusatory,no,"use of statistics, appeal to emotion, over-simplification","selective use of facts, demonization, appeal to authority",hasty generalization
207,negative,critical,yes,"quoting, contextualization, appeal to authority","demonization, fearmongering, selective omission","hasty generalization, cherry-picking"
208,negative,accusatory,yes,"euphemism, appeal to authority, dichotomy","labeling, cherry picking, fear mongering",hasty generalization
209,negative,accusatory,yes,"testimonial, framing, anecdotal evidence","fear, demonization, misleading statistics","['hasty generalization', 'cherry-picking']"
210,positive,celebratory,no,"superlative language, contrast, authority reference","selection, appeal to emotion, repetition",none
211,negative,accusatory,no,"hyperbole, appeal to authority, comparative analysis","demonization, fearmongering, selective evidence",false dichotomy
212,negative,critical,yes,"allusion, euphemism, repetition","ad hominem, bandwagon",straw man
213,negative,critical,yes,"anecdotal evidence, statistical evidence, contrast","appeal to emotion, cherry-picking data, vagueness",hasty generalization
214,negative,critical,yes,"quoting authority, contrast","card stacking, transfer",cherry picking
215,positive,confident,no,"anecdote, comparative statement, exclusivity","card stacking, bandwagon, fear of missing out (fomo)",hasty generalization
216,positive,optimistic,yes,"contrast, appeal to authority, statistics","half-truth, positive framing",no logical fallacies
217,negative,critical,yes,"accusation, emphasis","ad hominem, fear mongering",false dilemma
218,negative,accusatory,yes,"anecdote, emphasis","ad hominem, fearmongering",hasty generalization
219,neutral,cautiously optimistic,yes,"assurance, sensitivity, euphemism","appeal to emotion, reassurance, nostalgia",none
220,negative,cautionary,no,"historical context, specificity, contrast","selective omission, appeal to authority, fear appeal",hasty generalization
221,neutral,defensive,yes,"statistical evidence, downplaying","cherry-picking, misleading statistics",oversimplification
222,neutral,expository,no,"appeal to authority, contrast, anecdotal evidence","fearmongering, bandwagon","['false cause', 'begging the question']"
223,negative,critical,no,"appeal to emotion, anecdotal evidence","fear-mongering, vague language","['hasty generalization', 'post hoc fallacy']"
224,negative,cautionary,yes,"authority, appeal to fear, contrast","scare tactics, card stacking","false dilemma, circular reasoning"
225,positive,optimistic,no,"appeal to authority, anecdotal evidence, contrast","glittering generalities, deflection",hasty generalization
226,negative,defensive,yes,"anaphora, anecdote, contradiction","appeal to authority, fear mongering, selective omission",post hoc ergo propter hoc
227,negative,accusatory,no,"hyperbole, inferential argument","demonization, cherry-picking",hasty generalization
228,negative,critical,no,"statistical evidence, historical reference, contrast","appeal to emotion, selective omission, demonization of opponents",post hoc ergo propter hoc
229,negative,defensive,yes,"hyperbole, contrast, appeal to authority","bandwagon, cherry picking",overgeneralization
230,negative,critical,yes,"claim, statistics, attribution","anecdotal evidence, fear appeals",hasty generalization
231,negative,alarmist,yes,"appeal to fear, slippery slope, hyperbole","fear-mongering, selective omissions, anecdotal evidence","['hasty generalization', 'false dichotomy']"
232,neutral,analytical,no,"definition, appeal to authority","misleading language, emphasis on moderate change",equivocation
233,negative,cautionary,no,"use of statistics, contrast, appeal to fear","scare tactics, cherry-picking data, repetition",overgeneralization
234,negative,critical,no,"hyperbole, comparative language","scare tactics, selective evidence",false comparison
235,negative,critical,yes,"contradiction, quoting, exemplification","appeal to emotion, strawman argument",false attribution
236,negative,critical,yes,"overstatement, contrast, historical context","cherry-picking, appeal to emotion, false dilemma",post hoc fallacy
237,negative,indignant,yes,"appeal to emotion, anecdotal evidence, simplification","bandwagon, emphasizing a false dilemma, appeal to authority",hasty generalization
238,neutral,informative,yes,"appeal to authority, emotionally charged language, specific examples","bandwagon, card stacking, transfer","['hasty generalization', 'post hoc']"
239,negative,urgent,no,"hyperbole, comparative argument","appeal to authority, data manipulation",hasty generalization
240,neutral,assertive,no,"comparative statement, hyperbole","appeal to authority, fear-mongering",ambiguity
241,neutral,informative,no,"clarification, simplicity, authority appeal","fear appeal, bandwagon, transfer",none
242,neutral,informative,no,"statistics, appeal to authority, clarification","bandwagon, generalization",none
243,negative,serious,no,"estimation, appeal to authority, hedge","fear-mongering, bandwagon",hasty generalization
244,negative,critical,yes,"anaphora, contrast, appeal to authority","fear appeal, demonization",hasty generalization
245,negative,critical,yes,"appeal to authority, loaded language, contrast","cherry-picking, false dilemma",post hoc ergo propter hoc
246,neutral,analytical,no,"historical reference, future projection, investment rhetoric","fear-mongering, appeal to authority, exaggeration",appeal to fear
247,neutral,critical,yes,"quotation, contrast, hyperbole","card stacking, appeal to authority",straw man
248,neutral,optimistic,yes,"hyperbole, appeal to emotion, negation","cherry picking, glittering generalities, diversion",faulty cause and effect
249,neutral,defensive,yes,"quoting, euphemism, contrast","card stacking, ad hominem, emotional appeal",straw man
250,negative,critical,yes,"admittance, attack, contradiction","demonization, misleading information, shifting blame","['hasty generalization', 'false dichotomy']"
251,neutral,informative,no,"anecdote, hyperbole, contrast","selective omission, card stacking","hasty generalization, false dichotomy"
252,negative,critical,yes,"appeal to emotion, contrast","fearmongering, selective reporting",hasty generalization
253,negative,aggressive,no,"statistical manipulation, euphemism, appeal to emotion","fear-mongering, bandwagon, demonization",hasty generalization
254,neutral,formal,yes,"appeal to authority, contradiction, clarity","demonization, selective omission",post hoc fallacy
255,negative,critical,yes,"anaphora, loaded language, appeal to emotion","ad hominem, fearmongering, reductio ad absurdum",begging the question
256,positive,optimistic,no,"anaphora, pathos, anecdote","glittering generalities, bandwagon, testimonial",no logical fallacy
257,negative,adversarial,no,"spin, labeling, hyperbole","fear, demonization, selective omission",hasty generalization
258,negative,alarmist,yes,"hyperbole, contrast","appeal to emotion, misleading statistics",fallacy of composition
259,neutral,defensive,yes,"statistics, anecdote, contrast","glittering generalities, card stacking, transfer",post hoc ergo propter hoc
260,negative,dramatic,yes,"hyperbole, appeal to emotion, personification","fearmongering, simplification, scapegoating",false dilemma
261,negative,defensive,no,"ad hominem, appeal to emotion, repetition","disinformation, fear-mongering, characterization",straw man
262,negative,cautionary,yes,"hyperbole, appeal to fear, slippery slope","scare tactics, emotional appeal",straw man
263,positive,optimistic,no,"allusion, contrast, temporal references","selective statistics, emotional appeal, authority endorsement",post hoc ergo propter hoc
264,negative,critical,yes,"ambiguity, appeal to emotion, anecdotal evidence","selective omission, disinformation, ad hominem","['hasty generalization', 'post hoc ergo propter hoc']"
265,negative,critical,yes,"hyperbole, quoting","appeal to emotion, ad hominem",straw man fallacy
266,negative,critical,yes,"hyperbole, loaded language, appeal to fear","fearmongering, cherry-picking, false dilemma","['slippery slope', 'hasty generalization']"
267,negative,accusatory,yes,"repetition, contrast, appeal to emotion","cherry-picking data, scapegoating",oversimplification
268,positive,informative and assertive,yes,"statistical evidence, causal attribution, quotations","testimonial, ad populum, oversimplification",hasty generalization
269,neutral,informative,yes,"implication, ambiguity","cherry-picking, misleading language",post hoc fallacy
270,neutral,cautious,no,"impression management, appeal to popularity, vagueness","fear-mongering, loaded language, selective omission","['appeal to emotion', 'hasty generalization']"
271,neutral,informative,no,"statistic use, authority reference","appeal to emotion, bandwagon effect",none
272,negative,cautionary,yes,"quotation, contrast, metaphor","fear, simplification, appeal to consequences","['post hoc', 'simplistic cause']"
273,neutral,informative,yes,"repetition, ambiguity","card stacking, omission",hasty generalization
274,negative,conversational,yes,"rhetorical question, contrast, statistics","scare tactics, redirection, selective omission","['post hoc ergo propter hoc', 'false dichotomy']"
275,negative,critical,yes,"hyperbole, appeal to emotion, dichotomy","misleading statistics, labeling, appeal to fear","['overgeneralization', 'false dichotomy']"
276,neutral,skeptical,yes,"contrast, appeal to authority, hypothetical scenario","selective omission, appeal to emotion, simplification","['red herring', 'hasty generalization']"
